"Original_station_cast","Location_Station_Number","Location","Station_Number","Depth","Salinity","Temperature","Pressure","Density","Conductivity","Oxygen","Turbidity","Chlorophyll","Max_Depth","Station"
"64PE477_S04C01","PE477_2","PE477",2,11.304,34.5191,15.8145,11.406,1025.35081478027,43.188713,240.331,0.9018,0.3184,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,11.514,34.5194,15.8125,11.618,1025.35242570637,43.187111,240.761,0.8885,0.3611,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,11.839,34.5193,15.8137,11.946,1025.35351995595,43.188391,240.51,0.8659,0.3373,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,12.206,34.5191,15.8129,12.317,1025.35517876948,43.187497,241.168,0.8702,0.2556,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,12.657,34.5194,15.8119,12.771,1025.35762716834,43.187127,240.482,0.9084,0.2606,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,13.086,34.5195,15.8125,13.204,1025.35947009071,43.187964,240.714,0.9817,0.2527,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,13.357,34.5192,15.8144,13.478,1025.36001701732,43.189685,240.713,0.9768,0.2653,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,13.376,34.5192,15.814,13.497,1025.3601908296,43.189245,240.715,0.9592,0.3508,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,13.213,34.5191,15.8132,13.332,1025.35957059821,43.188271,240.321,0.9523,0.4558,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,13.197,34.5192,15.8136,13.316,1025.35948592087,43.188789,240.552,1.0247,0.4387,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,13.558,34.5194,15.8132,13.681,1025.36133181497,43.188797,240.671,0.9162,0.3733,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,14.162,34.5193,15.8141,14.29,1025.36372827555,43.189869,240.585,0.9355,0.2869,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,14.745,34.5188,15.821,14.878,1025.3643732502,43.196255,240.636,0.8946,0.2502,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,15.056,34.5192,15.8185,15.192,1025.36662133119,43.194427,240.998,0.882,0.2888,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,15.086,34.5192,15.8182,15.223,1025.36682529594,43.194045,240.746,0.8796,0.3634,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,15.254,34.5193,15.8185,15.392,1025.36757594445,43.194514,240.75,0.937,0.376,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,15.579,34.5186,15.8248,15.72,1025.367061878,43.200107,241.096,0.9526,0.3118,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,15.86,34.5188,15.8242,16.003,1025.36859261899,43.199812,240.506,0.9287,0.3929,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,16.028,34.519,15.8235,16.173,1025.36964952622,43.199544,241.016,0.9593,0.4835,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,16.041,34.5189,15.8232,16.186,1025.36969848097,43.199073,241.165,0.9945,0.3484,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,16.087,34.5191,15.8222,16.232,1025.37027842052,43.198335,240.996,0.9475,0.2771,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,16.393,34.5189,15.8239,16.541,1025.37109986305,43.199955,241.09,0.9305,0.2503,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,16.956,34.519,15.8236,17.109,1025.37373887484,43.199959,241.095,1.0059,0.4836,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,17.507,34.519,15.8239,17.665,1025.37611360091,43.200499,241.11,0.9575,0.4,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,17.837,34.5188,15.8281,17.999,1025.37647967045,43.204529,241.1,0.9914,0.4263,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,17.889,34.5189,15.8263,18.051,1025.37719090768,43.202963,240.802,1.2378,0.6863,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,18.072,34.519,15.8259,18.236,1025.37816995138,43.202727,240.67,0.9417,0.6393,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,18.445,34.5189,15.8273,18.612,1025.37942927765,43.204136,240.836,0.9722,0.4734,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,18.595,34.5188,15.8279,18.763,1025.37988102186,43.204727,240.798,0.8983,0.3226,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,18.57,34.5185,15.827,18.738,1025.37974681522,43.203422,240.709,1.0863,0.3041,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,18.731,34.5188,15.8275,18.901,1025.38057765197,43.20447,240.469,1.1062,0.4565,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,19.222,34.5189,15.8281,19.395,1025.38268799411,43.205307,241.05,1.1926,0.3712,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,19.872,34.5188,15.8285,20.051,1025.38540324474,43.205905,240.854,1.2541,0.3063,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,20.41,34.5186,15.8286,20.595,1025.38761835671,43.206004,241.251,1.2348,0.319,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,20.615,34.5186,15.8283,20.802,1025.3885954574,43.205758,240.649,1.3993,0.3069,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,20.557,34.5188,15.8284,20.743,1025.38846556726,43.206055,240.58,1.4301,0.3005,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,20.515,34.5188,15.8285,20.701,1025.38825846789,43.206079,241.022,1.1813,0.2714,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,20.587,34.5189,15.828,20.773,1025.38876372474,43.205813,240.805,1.2199,0.2592,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,20.741,34.5187,15.8277,20.928,1025.38936052387,43.205416,240.857,1.0525,0.3714,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,21.031,34.5188,15.8278,21.221,1025.39070088688,43.20572,240.905,1.0584,0.3822,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,21.475,34.5188,15.828,21.669,1025.39262353192,43.206025,240.898,0.9654,0.4624,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,22,34.5187,15.8284,22.199,1025.39478517252,43.206535,240.979,1.155,0.4422,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,22.404,34.5189,15.8286,22.607,1025.39668394917,43.207129,241.023,1.1307,0.3821,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,22.666,34.5189,15.8288,22.871,1025.39779832008,43.207439,240.944,1.094,0.5723,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,22.733,34.5189,15.8287,22.938,1025.39811522437,43.207456,240.893,1.1214,0.4198,34.494,2
"64PE477_S04C01","PE477_2","PE477",2,22.725,34.5189,15.8287,22.93,1025.3980800852,43.207408,240.511,1.0676,0.3041,34.494,2
