"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells"
1,"Cruise_NorthSea_PE486_Algae_PE486_8_20m.fcs compensated","Gate 2","Gate 15",115,3.25,1.52
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs compensated","Gate 2","Gate 15",110,2.9,1.34
1,"Cruise_NorthSea_PE486_Algae_PE486_8_40m.fcs compensated","Gate 2","Gate 15",117,2.91,1.37
1,"Cruise_NorthSea_PE486_Algae_PE486_8_45_8m.fcs compensated","Gate 2","Gate 15",124,2.69,1.16
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs compensated","Gate 2","Gate 16",12,0.03,0.02
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs compensated","Gate 2","Gate 16",36,0.09,0.08
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs compensated","Gate 2","Gate 16",34,0.08,0.07
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs compensated","Gate 2","Gate 16",37,0.09,0.07
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs compensated","Gate 2","Gate 16",32,0.15,0.09
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs compensated","Gate 2","Gate 16",32,0.17,0.1
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs compensated","Gate 2","Gate 16",9,0.09,0.05
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs compensated","Gate 2","Gate 16",44,0.47,0.24
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs compensated","Gate 2","Gate 16",19,0.12,0.1
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs compensated","Gate 2","Gate 16",14,0.12,0.1
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs compensated","Gate 2","Gate 16",115,0.1,0.07
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs compensated","Gate 2","Gate 16",128,0.11,0.08
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs compensated","Gate 2","Gate 16",24,0.06,0.05
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs compensated","Gate 2","Gate 16",16,0.02,0.01
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs compensated","Gate 2","Gate 16",17,0.02,0.01
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs compensated","Gate 2","Gate 16",10,0.03,0.03
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs compensated","Gate 2","Gate 16",35,0.01,0.01
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle11.fcs compensated","Gate 2","Gate 16",24,0.01,0.01
