"Overlay","Filename","Overlay_Gate","Gate","Total_Events","percent_gated_cells","percent_all_cells","Location","Station_Number","Depth","Location_Station","Acquisition_Duration","Flow_Rate","cells_per_mL"
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs compensated","2","15",1186,17.55,9.78,"PE486",1,30,"PE486_1",10,107,1108.41121495327
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","2","15",726,22.01,6.62,"PE486",2,7,"PE486_2",10,107,678.504672897196
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs compensated","2","15",726,22.01,6.62,"PE486",2,7,"PE486_2",10,107,678.504672897196
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs compensated","2","15",132,3.8,1.33,"PE486",2,15,"PE486_2",10,107,123.364485981308
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs compensated","2","15",112,4.17,1.81,"PE486",2,30,"PE486_2",10,107,104.672897196262
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs compensated","2","15",14,0.21,0.16,"PE486",3,7,"PE486_3",10,107,13.0841121495327
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs compensated","2","15",25,0.27,0.22,"PE486",3,15,"PE486_3",10,107,23.3644859813084
1,"Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs compensated","2","15",131,3.76,0.85,"PE486",4,7,"PE486_4",10,107,122.429906542056
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs compensated","2","15",129,3.83,0.79,"PE486",4,15,"PE486_4",10,107,120.560747663551
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs compensated","2","15",116,5.17,1.66,"PE486",4,30,"PE486_4",10,107,108.411214953271
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs compensated","2","15",118,3.29,1.58,"PE486",5,7,"PE486_5",10,107,110.280373831776
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs compensated","2","15",110,3.1,1.48,"PE486",5,15,"PE486_5",10,107,102.803738317757
